Year,Year ending,Offence Division,Offence Subdivision,Offence Subgroup,Offence Count,"Rate per 100,000 population"
2023,March,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders,1491,22.065480327
2023,March,F Other offences,F10 Regulatory driving offences,F11 Drink driving,1,0.014799115
2023,March,F Other offences,F10 Regulatory driving offences,F15 Licensing offences,2,0.02959823
2023,March,F Other offences,F10 Regulatory driving offences,F19 Other regulatory driving offences,10,0.147991149
2023,March,F Other offences,F20 Transport regulation offences,F21 Public transport,239,3.536988463
2023,March,F Other offences,F20 Transport regulation offences,F22 Aviation regulations offences,15,0.221986724
2023,March,F Other offences,F20 Transport regulation offences,F23 Maritime regulations offences,132,1.953483168
2023,March,F Other offences,F20 Transport regulation offences,F24 Pedestrian offences,5,0.073995575
2023,March,F Other offences,F20 Transport regulation offences,F29 Other transport regulation offences,59,0.87314778
2023,March,F Other offences,F30 Other government regulatory offences,F31 Betting and gaming offences,24,0.355178758
2023,March,F Other offences,F30 Other government regulatory offences,F32 Commercial regulation offences,11,0.162790264
2023,March,F Other offences,F30 Other government regulatory offences,F33 Liquor and tobacco licensing offences,128,1.894286708
2023,March,F Other offences,F30 Other government regulatory offences,F34 Pornography and censorship offences,4,0.05919646
2023,March,F Other offences,F30 Other government regulatory offences,F36 Prostitution offences,23,0.340379643
2023,March,F Other offences,F30 Other government regulatory offences,F39 Other government regulatory offences,65,0.961942469
2023,March,F Other offences,F90 Miscellaneous offences,F91 Environmental offences,102,1.509509721
2023,March,F Other offences,F90 Miscellaneous offences,F92 Public health and safety offences,257,3.803372531
2023,March,F Other offences,F90 Miscellaneous offences,F93 Cruelty to animals,157,2.32346104
2023,March,F Other offences,F90 Miscellaneous offences,F94 Dangerous substance offences,12,0.177589379
2023,March,F Other offences,F90 Miscellaneous offences,F99 Other miscellaneous offences,57,0.84354955
2022,March,A Crimes against the person,A10 Homicide and related offences,A11 Murder,49,0.740196587
2022,March,A Crimes against the person,A10 Homicide and related offences,A12 Attempted murder,20,0.302121056
