Year,Year ending,Offence Division,Offence Subdivision,Offence Subgroup,Offence Count,"Rate per 100,000 population"
2022,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,"3,343",50.5
2022,March,B Property and deception offences,B10 Arson,B11 Cause damage by fire,"1,751",26.5
2022,March,B Property and deception offences,B10 Arson,B12 Cause a bushfire,62,0.9
2022,March,B Property and deception offences,B10 Arson,B19 Other fire related offences,308,4.7
2022,March,B Property and deception offences,B20 Property damage,B21 Criminal damage,"34,482",520.9
2022,March,B Property and deception offences,B20 Property damage,B22 Graffiti,"3,170",47.9
2022,March,B Property and deception offences,B20 Property damage,B29 Other property damage offences,434,6.6
2022,March,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,"3,921",59.2
2022,March,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,118,1.8
2022,March,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary,6,0.1
2022,March,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,"16,466",248.7
2022,March,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,"9,468",143.0
2022,March,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,76,1.1
2022,March,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,"14,872",224.7
2022,March,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,"47,134",712.0
2022,March,B Property and deception offences,B40 Theft,B43 Steal from a retail store,"18,485",279.2
2022,March,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,"7,042",106.4
2022,March,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,"14,568",220.1
2022,March,B Property and deception offences,B40 Theft,B46 Fare evasion,23,0.3
2022,March,B Property and deception offences,B40 Theft,B49 Other theft,"37,381",564.7
2022,March,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,"2,808",42.4
2022,March,B Property and deception offences,B50 Deception,B52 Possess equipment to make false instrument,11,0.2
2022,March,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,"23,233",351.0
2022,March,B Property and deception offences,B50 Deception,B54 State false information,712,10.8
2022,March,B Property and deception offences,B50 Deception,B55 Deceptive business practices,12,0.2
2022,March,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation,127,1.9
